nombre,sexo,edad,tamaño,especie,descripcion,protectora,ubicación,peso,nivel_actividad,mi_historia,url,origen,cluster
Thor,Male,Young,Unknown,Dog,"Good at home, Good in the car, Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Obedient, Likes to walk",RgpParticular,"Huelva, España",38 kg,Medium,"Thor fue encontrado en la calle a los seis meses de edad, es muy cariñoso y noble pero necesita una actividad que nosotros no podemos darle, necesita mejor calidad de vida",https://petshelter.miwuki.com/c/t9hDFW2ikS,miwuki,0
Brandy,Female,Young,Small,Dog,"Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Protective, Shy",Emmanuel A.Particular,"Jalisco, México",12 kg,Medium,se la quitamos a una persona q la tenía en malas condiciones,https://petshelter.miwuki.com/c/1S7bpw3yS1,miwuki,2
Aloia,Female,Young,Medium,Dog,Good with people,PueblanimalProtectora,"Toledo, España",12 kg,Undetermined,"ALOIA
Sexo: Hembra
Nacimiento: 1/06/2019
Historia: Procedente de perrera
Carácter: Algo miedosa pero muy buena
Tamaño: Mediano (12kg*)

Esta en un pueblo de Toledo
puede viajar*

Para acoger o adoptar a Aloia escríbenos:
pueblaaanimal@gmail.com",https://petshelter.miwuki.com/c/mGz46IngqV,miwuki,2
Luz,Female,Young,Medium,Dog,"Good at home, Good in the car, Good with children, Good with people, Affectionate, Likes company, Playful, Likes to walk",Happy pet'sProtectora,"San Luis Potosí, México",17.5 kg,Medium,"Luz es una perrita la cual sufrió mucho! La utilizaban para vender sus crias y la peleaban a consecuencia de esto no convive muy bien con otros animales, Pero le encantan los niños y adultos 😍
Anímate a conocerla!
*Tiene problemas hormonales, pero con la esterilización se le quitarán *",https://petshelter.miwuki.com/c/DQEYqeBgWZ,miwuki,0
,,,,Dog,Descripción no disponible,Unknown,Unknown,,,Historia no disponible,https://petshelter.miwuki.com/c/rkacdzvSFs,miwuki,5
Chula,Female,Adult,Medium,Dog,"Good at home, Good in the car, Good with children, Good with people, Affectionate, Likes company, Sleepy, Playful, Obedient, Likes to walk",Marc B.Particular,"Barcelona, España",25 kg,Medium,"Fui adoptada de un refugio cuando tenia medio año, me gusta jugar, me gusta estar con la família, me gusta dormir toda la noche, no hago las necesidades en casa y no causo destrozos domésticos.",https://petshelter.miwuki.com/c/VqQI8BjcGW,miwuki,0
Pimiento,Male,Young,Medium,Dog,"Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Obedient, Shy",SOS Perros de AdraProtectora,"Almería, España",20 kg,Low,vivía en las montañas con sus hermanos y su madre,https://petshelter.miwuki.com/c/rI0YUSDMhx,miwuki,2
Milka,Female,Adult,Medium,Dog,"Good at home, Good in the car, Good with other animals, Good with other dogs, Good with people, Likes company, Sleepy, Shy",Rescat and dogProtectora,"Valencia, España",0 kg,Low,"𝐌𝐈𝐋𝐊𝐀 🍫 
𝐍𝐮𝐞𝐬𝐭𝐫𝐚 𝐜𝐡𝐨𝐜𝐨𝐥𝐚𝐭𝐢𝐭𝐚𝐚𝐚 𝐩𝐫𝐞𝐟𝐞𝐫𝐢𝐝𝐚 🥰🥰
📢𝐁𝐔𝐒𝐂𝐀𝐌𝐎𝐒 𝐔𝐍𝐀 𝐀𝐃𝐎𝐏𝐂𝐈Ó𝐍 𝐄𝐒𝐏𝐄𝐂𝐈𝐀𝐋 𝐏𝐀𝐑𝐀 𝐔𝐍𝐀 𝐂𝐇𝐈𝐂𝐀 𝐄𝐒𝐏𝐄𝐂𝐈𝐀𝐋📢 
Milka es una de las perritas de las que nos hicimos cargo del Refugio de Elsa. Llegó a nosotras con mucho mucho miedo, y es que estaba desde cachorra en el Refugio y sólo socializó con algunos perritos, y nada con personas 😞😞
Gracias a un compi que se la llevó en acogida a su casita, Milka os podemos asegurar que es otra perrita. Es muy buena y tranquila en casa, se pasa casi todo el día tumbada en el sofá 🛋 y durmiendo 😴🙈. Pasea muy bien , y nuestro compi nos dice que  hace mucho caso. 
Juega con los perros más pequeños, ya que los grandes  le dan todavía algo de miedo. 
Con la gente que no conoce es tímida al principio, pero una vez te conoce es muy cariñosa y te busca para pedir mimos y caricias 🥰🥰
Milka es una perrita Preciosa, que necesita una familia que la entienda, que no la fuerce ni la agobie, ella se irá acercando y será ella misma, dulce y cariñosa como la que más🥰
Buscamos para ella un ambiente tranquilo, lleno de ternura y amor para nuestra chocolatitaaaa especial ♥️
💠Tiene unos 5 años aproximadamente. 
💠Está con chip, vacunas, y esterilizada. 
💠Tiene leishmania controlada (Sus niveles son muy bajitos 👉Solo toma la pastilla 💊 alopurinol que la caja no llega a 3€) La leishmania no debe ser un impedimento para adoptar y ser invisible, ya que ella hace vida totalmente normal y la tiene controlada. 
💢No está testada con gatos 🐈‍⬛, pero la podemos testar. 
♦️CONTACTA CON NOSOTRAS PARA ADOPTAR A MILKA: 
📲 676781805-633083697(𝗦𝗢𝗟𝗢 𝗪𝗵𝗮𝘁𝘀𝗔𝗽𝗽)
📩Messenger: m.me/Rescatandogvalencia",https://petshelter.miwuki.com/c/xZpEQF6Eoh,miwuki,0
Kyara,Female,Puppy,Medium,Dog,"Good with children, Good with other animals, Affectionate, Obedient",Fundación LaikaProtectora,"Sinaloa, México",0 kg,Medium,Historia no disponible,https://petshelter.miwuki.com/c/YolmX7zB8P,miwuki,2
Reina,Female,Adult,Unknown,Dog,"Good at home, Good in the car, Good with people, Affectionate, Playful",SoscanicatProtectora,"Tarragona, España",25 kg,Medium,"Reina es una  perra con mucha energía pero con muchas ganas de aprender. Necesita de entrada, una familia sin perros aunque ha convivido con 3, pasea bien con correa. No apta con gatos
⏩Porque no enviamos nuestros perros?
-Porque se estresan en el viaje en una jaula 
-Porque creemos que es importante tener un contacto previo para una decisión tan importante
-Porque es muy importante una toma de contacto previo con el animal, es necesario ver si hay algún tipo de conexión, feeling, antes de adoptarlo 
-Y porque queremos conocer personalmente a la persona adoptante",https://petshelter.miwuki.com/c/NWbQqNTOBc,miwuki,0
Chuli,Female,Adult,Medium,Dog,"Good at home, Good in the car, Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Sleepy, Independent, Shy",8 Vidas TeruelProtectora,"Teruel, España",15 kg,Medium,"Chuli es una perrita encontrada de noche en un estado pésimo. Sin pelo en algunas partes, desnutrida y con muchísimo miedo. 
Fue llevada a la clínica veterinaria donde se recuperó y desde entonces esta en una casa de acogida. Le gusta salir a la calle y que le de el sol pero también ha vivido dentro de casa y sabe comportarse adecuadamente.",https://petshelter.miwuki.com/c/zmx8LGVdoK,miwuki,0
Roma,Female,Young,Medium,Dog,"Good at home, Good in the car, Good with children, Good with people, Affectionate, Likes company, Escapista, Playful, Likes to walk, Protective",Angelica G.Particular,"Madrid, España",15 kg,Undetermined,"Roma es un American Stanford muy cariñosa, con mucha energía que necesita mucha actividad a lo largo del día para estar tranquila, necesita alguien que le dé cariño constante y atención es cabezona pero aprende muy rápido, solo busca atención y ser feliz",https://petshelter.miwuki.com/c/61xXIte26c,miwuki,0
Kira,Female,Adult,Medium,Dog,"Good at home, Good in the car, Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Sleepy, Independent, Playful, Obedient, Likes to walk",Itziar T.Particular,"Lugo, España",20 kg,Medium,no tenemos el tiempo suficiente para ella es muy buena ha convivido con gatos es muy cariñosa esta educada y en casa no ladra,https://petshelter.miwuki.com/c/tyeNsFSWi1,miwuki,0
Lola,Female,Unknown,Medium,Dog,Shy,Refugi la SegarraProtectora,"Lleida, España",0 kg,Low,Historia no disponible,https://petshelter.miwuki.com/c/3vyeCvzfVA,miwuki,2
Alisa,Female,Unknown,Medium,Dog,Descripción no disponible,AyucanProtectora,"Madrid, España",0 kg,Undetermined,Historia no disponible,https://petshelter.miwuki.com/c/oW6epauKiP,miwuki,5
Skadi,Female,Puppy,Medium,Dog,"Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate",Rescate Animal Marina AltaProtectora,"Alicante, España",12 kg,High,Historia no disponible,https://petshelter.miwuki.com/c/4bm7cIVMUP,miwuki,2
Walter Jugueton,Male,Young,Medium,Dog,"Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Escapista",Canis y FelisProtectora,"Cádiz, España",15 kg,High,"Walter formaba parte de una caja con 21 cachorros lactantes abandonados que nos dejaron en la puerta de nuestro refugio. Todos salieron adoptados y el único que nos queda es él, que se quedó solito. Es un perro con una enorme cantidad de energía. Siempre está corriendo y jugando con los demás perros. En cuanto entras en el refugio viene corriendo a saludarte y a pedirte mimos y que juegues con él. Le encanta estar cerca de los voluntarios mientras van recogiendo el campo y que le tiren juguetes y le den cariño. Es un perro muy especial que necesita un hogar que pueda darle todo el amor que necesita ¿Quieres dárselo tú? Escribenos a: adopcioncyf@gmail.com ¿Te has enamorado de el pero no puedes tenerlo en casa? Escribenos a: apadrinamientoscyf@gmail.com Se entrega desparasitado, castrado, vacunado y con chip. Fecha de nacimiento: Julio/agosto de 2015 Sexo: Macho Salud: Totalmente sano",https://petshelter.miwuki.com/c/ndUYAr5Yj4,miwuki,2
Carla,Female,Adult,Medium,Dog,"Good at home, Good in the car, Affectionate, Sleepy, Independent, Playful, Obedient, Likes to walk, Protective",Iuliana M.Particular,"Lleida, España",20 kg,Medium,"Hembra  1 año,busca familia responsable que lo ame y cuide.sterilizada,educada tiene curso basico de adriesamiento y obediencia.",https://petshelter.miwuki.com/c/tNCqHRjpoL,miwuki,0
Pinta,Female,Young,Medium,Dog,Descripción no disponible,Centro Municipal De Control De Zoonosis Murcia - CeproamurProtectora,"Murcia, España",18.3 kg,High,"Pinta es una perra amigable, siempre alerta, buena, y simpática. Le gusta estar con personas y otros perros.",https://petshelter.miwuki.com/c/9JqVFDRhxv,miwuki,5
Lolito,Male,Puppy,Medium,Dog,"Good at home, Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Sleepy, Playful",Mari Angeles M.Particular,"Sevilla, España",0 kg,Medium,"Doy en adopción a este pequeño cachorro, es un cruce de perro de agua y podenco, es muy cariñoso y juguetón. Tiene un mes y medio de edad. 685106375",https://petshelter.miwuki.com/c/bD4glYRZVr,miwuki,0
Border,Male,Puppy,Unknown,Dog,"Good at home, Good with children, Good with other animals, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Playful, Likes to walk, Protective",Cris E.Particular,"Valencia, España",26 kg,Medium,"Precioso Border Collie de menos de un añito, es un bebe muy activo, bueno y juguetón. Se entrega con todas las vacunad y cartilla. Es muy bueno con niños y otros perros, esta acostumbrado al campo y el chalet.",https://petshelter.miwuki.com/c/tfgQBG8nK5,miwuki,0
Dominò,Male,Adult,Unknown,Dog,"Good at home, Good in the car, Good with children, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Playful, Obedient, Likes to walk, Protective",Javier M.Particular,"Málaga, España",48 kg,Medium,"Adoptado con un mes, está sano, es muy bueno, cariñoso, le encantan los niños, las personas en general y es muy protector de quien considera su manada, pero no le estoy dando la vida q él se merece y me dá mucha pena, él se merece algo mejor🥺😞",https://petshelter.miwuki.com/c/2rFPxY5trW,miwuki,0
Oker,Male,Senior,Large,Dog,"Good with children, Good with people, Affectionate, Obedient",Ayra BizkaiaProtectora,"Vizcaya, España",38 kg,Medium,Historia no disponible,https://petshelter.miwuki.com/c/18CpmRIW2j,miwuki,2
Mikaela,Female,Young,Large,Dog,"Good at home, Good in the car, Good with children, Good with other animals, Affectionate, Likes company, Playful, Likes to walk",iah Amores PerrosProtectora,"Sevilla, España",0 kg,Low,"Se busca casa de acogida o adopción para Mikaela, lo está pasando mal en el refugio. Ella necesita contacto humano, amor, una familia que la lleve a pasear, a correr, hacer amigos . 
No te dejes impresionar por su tamaño, no hacen falta 1000 metros de vivienda para tener un perro grande, ellos siempre quieren estar a tu lado.",https://petshelter.miwuki.com/c/9wGBXR4Srd,miwuki,0
Thor,Male,Young,Medium,Dog,"Good at home, Good in the car, Good with other dogs, Good with people, Affectionate, Sleepy, Escapista, Independent, Playful, Likes to walk, Protective",Maria R.Particular,"Valencia, España",0 kg,Undetermined,Gris muy bonito muy bueno pienso especial no le gustan los.machos.perros lobos etc....le gusta sus paseos de 1 hora y media sólo y le chifla las.pelotas ama la hierba le encanta buen protector de sus dueños y cariñoso da besitos y te choca la mano entiende toma pechuga de pavo vámonos Sit eso no se hace etc..,https://petshelter.miwuki.com/c/cEpeY5yLd2,miwuki,0
Shelly,Female,Adult,Medium,Dog,"Good with children, Good with other dogs, Affectionate",Red de Protección Animal Perros del AlmaProtectora,"Buenos Aires, Argentina",0 kg,Undetermined,"Esta es Shelly. Fue rescatada en celo acosada por los machos. Ojalá alguien pueda darle un hogar a esta hermosa perra tricolor, que sólo busca estar nuevamente con gente que la quiera. Está castrada, vacunada y desparasitada, se lleva bien con machos y hembras, también con chicos.",https://petshelter.miwuki.com/c/4Twd5dJNfX,miwuki,2
Denver,Male,Adult,Unknown,Dog,"Good at home, Good in the car, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Sleepy, Playful, Obedient, Likes to walk",Centro Canino SircanProtectora,"Barcelona, España",30 kg,Medium,"Hola amigos, os presento a Denver, un perro diez! un mocetón de unos 6 años de edad que ha sido abandonado sin miramientos por su ""familia"" después de haberlo adoptado hace dos años. Todo el día llorando se pasa el pobre Denver😭😭 el pobre piensa que en algún momento lo recuperarán, pobre, no es consciente de que quien abandona un perro nunca, nunca, nunca lo recupera. Denver es un mestizo de pointer, super bueno y obediente. Denver ha tenido la desgracia de acabar en la perrera de nuevo . Por favor, ayudarme a difundirlo, a ver si encontramos un hogar pronto para él, una Familia que no lo vuelva a abandonar. Denver se entrega esterilizado, debidamente vacunado, desparasitado y con los papeles en regla. Actualmente está en la protectora Sircan cerca de Barcelona, pero puede viajar a cualquier punto de España.
Podéis llamarme o enviarme un Whatsapp aquí; 646 958 099 (Juan Carlos)
Abrazos y gracias.",https://petshelter.miwuki.com/c/hoH9n8HTug,miwuki,0
Xena,Female,Puppy,Medium,Dog,"Good at home, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful",Apa Patitas PerrigatunasProtectora,"Madrid, España",20 kg,Medium,"Fecha nacimiento: 01-11-2023
Raza: Mestiza
Peso: 20 kilos
Tamaño: Mediana
Carácter: Buena, cariñosa, bien con personas y perros, no testado con gatos
Castrado: No
Vacunas: Todas al día.
Historia: Nacieron en la finca donde se ubica la protectora y la han cedido a la Asociación.",https://petshelter.miwuki.com/c/KkiiCCcCus,miwuki,0
Queen,Female,Young,Unknown,Dog,"Good at home, Good in the car, Good with other dogs, Good with people, Affectionate, Likes company",Asociación Míranos a los ojosProtectora,"Toledo, España",24 kg,Medium,"Queen fue recogida por una de nuestras casas de acogida, llevaba varios días vagando sola.",https://petshelter.miwuki.com/c/OHjAXCCg4f,miwuki,0
Marvel,Male,Young,Medium,Dog,"Good at home, Good in the car, Good with people, Affectionate, Obedient, Likes to walk, Protective",Kilian M.Particular,"Barcelona, España",32 kg,Medium,"Hola me llamo marvel
Tengo 7 años,soy un perro sordo y insegeguro, no suelo relacionarme con perros solo con perros conocidos. No me relaciono con mucha gente ni con niños. Para mas informacion poneros en contacto conmigo y explicare bien la historia de Marvel",https://petshelter.miwuki.com/c/GEI4Tvpxb8,miwuki,0
Noé,Male,Young,Large,Dog,"Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Likes to walk, Shy",Peludos los PedrochesProtectora,"Córdoba, España",35 kg,Undetermined,Fue recogido de una cuneta en muy malas concisiones tirado a su suerte fue recogido por la protectora y ahora mismo se encontrará muy bien y muy feliz. Es algo tímido pero coge muy pronto confianza y deja atrás su pasado tan feo.,https://petshelter.miwuki.com/c/uqQ1pQLUTt,miwuki,0
Hermion,Female,Young,Unknown,Dog,"Good at home, Good with children, Good temperament, Affectionate, Likes company, Sleepy, Playful, Obedient, Likes to walk",Mascotas de ZeroProtectora,"Alicante, España",kg,Undetermined,"Es un amor de perra, posiblemente mestiza de pastor alemán. 

Cuando llegó tenía bastante miedo, pero ahora enseguida te busca para que le hagas caso. Es una perra muy cariñosa.

Es apta con niños y con otros perros. No está testada con gatos. Está aprendiendo a pasear con correa, parece que antes de llegar nunca lo había hecho.",https://petshelter.miwuki.com/c/8NhhXU2KgF,miwuki,0
Batman,Male,Puppy,Medium,Dog,"Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Obedient",Huellas MalagueñasProtectora,"Málaga, España",12 kg,Medium,Historia no disponible,https://petshelter.miwuki.com/c/1HruuXPzTu,miwuki,2
Marcela,Female,Adult,Medium,Dog,"Affectionate, Shy",Red de Protección Animal Perros del AlmaProtectora,"Buenos Aires, Argentina",0 kg,Undetermined,"Esta perrita llamada Marcela la rescatamos de zoonosis, la abandonaron allí y nunca la fueron a buscar. Es muy dulce pero miedosa, necesita una familia para volver a confiar! Se entrega en adopción desparasitada, vacunada y castrada.",https://petshelter.miwuki.com/c/eT4wnCw2oc,miwuki,2
Holly,Male,Adult,Medium,Dog,"Good at home, Good in the car, Good with cats, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Independent",The Animal's HomeProtectora,"Jaén, España",0 kg,Undetermined,"Holly fue recogido por su última familia cuando aún era un bebé. Su primera familia lo maltrataba hasta tal punto que pensaban que un día podrían acabar con su vida. Esta familia decidió salvar a Holly y darle la oportunidad que se merecía. Durante todo el tiempo que estuvo con ellos Holly estuvo tratando todos sus miedos con un adiestrador y hace un par de años Holly llegó a nosotros. 
Desde el primer minuto Holly ha sido cariñoso con la gente que cuida de él y aunque han seguido trabajando ,Holly nunca ha tenido un mal gesto. El año pasado a pesar de ser adulto se contagió de parvovirus pero consiguió superarla. 
Holly ha sido abandonado dos veces por la que el creía que era su familia",https://petshelter.miwuki.com/c/PH9xtAHi3z,miwuki,0
Russell,Male,Puppy,Medium,Dog,"Good with other dogs, Good with people",Fran L.Particular,"Madrid, España",0 kg,Undetermined,"Soy muy cariñoso, jugueton, me llevo bien con los demas perros, ya hago pipi y caca en la calle en casa me porto super bien❤🐶❤ URGENTE YA DONDE ESTOY ES UN ESPACIO MUY PEQUEÑO Y NO ME PUEDEN TENER y por cuestiones economicas no Podemos mudarnos a un lugar mas grande. 😥 ES URGENTE 😕 SI ALGUIEN ME PUEDE ECHAR UNA MANO YA NO LE PUEDO TENER. 😢",https://petshelter.miwuki.com/c/VsMYtRFIpZ,miwuki,2
Rocko,Female,Unknown,Medium,Dog,Descripción no disponible,Héroes de 4 PatasProtectora,"Madrid, España",0 kg,Undetermined,"Os presentamos a un soldado al que le ha llegado la hora de retirarse. Su nombre es Rocko, es un pastor belga y tiene 10 años de edad. Es un perro activo y dócil, con buen carácter con las personas, no siendo así con los perros en general ni con gatos. Rocko padece de ataxia en las cuatros extremidades, dificultando de esta manera su movilidad por lo que esta recibiendo un tratamiento crónico de corticoides y antinflamatorios lo cual no le impide llevar una vida normal.",https://petshelter.miwuki.com/c/AHTA9ZKU8m,miwuki,5
Bastian,Male,Young,Medium,Dog,Descripción no disponible,DogHorseCityProtectora,"Toledo, España",0 kg,Undetermined,"❤️🐾BASTIAN
Galgo nacido aprox. 2019

Bastian es de esos galgos sin miedos, de los que baten la cola excitados e ilusionados por verte.

Esos galgos relaciones públicas, que quieren dar con todo y todos. Porque son megasociables y divertidos.

Es cariñoso y se lleva con sus compiperros muy bien.

¡Este galgo es sencillamente bello, elegante y perfecto! 

❤️🐾Para ADOPCIÓN:
https://goo.gl/forms/CzmkbzfE6HrFQXsR2

🏠 Para ACOGIDA:
https://goo.gl/forms/eAmOvkdw2JPo3JAt2

🧔🏻🐶 Para APADRINAR:
https://goo.gl/forms/wIwXNmLOe3iogggT2

ℹ️Para más INFO: adoptaysalvaunavida.org
doghorsecity.org

🇬🇧For more information please contact:
🇩🇪Für weitere Information schreiben Sie bitte an:
🇫🇷Pour plus d'informations s'il vous plaît contacter:

dogcityspain@outlook.es
Or fill out the adoption questionnaire:
https://goo.gl/forms/7oyL2GsWntcbcnym1",https://petshelter.miwuki.com/c/SL0gtQlGfA,miwuki,5
Marietta,Female,Adult,Large,Dog,"Good at home, Good with other animals, Good with other dogs, Good with people, Affectionate, Sleepy, Escapista, Independent, Shy",Galgos de la ManchaProtectora,"Madrid, España",18 kg,Low,"Marietta lleva más de dos años en el refugio. 
Llegó con muchísimo pánico, en el refugio es cariñosa con los voluntarios que conoce pero necesita una familia con paciencia que la haga recuperar la confianza.",https://petshelter.miwuki.com/c/R0NN07rsOr,miwuki,2
Pongo,Male,Young,Medium,Dog,"Good at home, Good in the car, Good with children, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Likes to walk, Protective",Almudena A.Particular,"Huelva, España",15 kg,Medium,"Necesito ayuda, actualmente estoy fuera de mi casa y mis padres no pueden hacerse cargo  de Pongo, busco una familia que pueda cuidarlo y le de el cariño que necesita. Gracias",https://petshelter.miwuki.com/c/LO8YB8AFLJ,miwuki,0
Backu,Male,Puppy,Medium,Dog,"Good at home, Good in the car, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Obedient, Likes to walk",Salvando Corazones PeludosProtectora,"Córdoba, España",20 kg,Medium,"❤️‍🩹BAKKU
Bakku, 2 años…toda una vida desperdiciada en una parcela vacía!😰
Bakku es la oveja negra de la camada, sus 8 hermanos fueron adoptados y él se quedó junto a su madre en una solitaria, fría o calurosa según toque…en una triste parcela. Ha crecido sin hogar ni familia, sin paseos ni juegos, con los mimos racionados. Es tímido, algo desconfiado al principio, lo que su madre Lasi le ha transmitido, pero se nota en su mirada que está deseando dar y recibir amor!🙏, lo tiene todo por aprender y por sentir!!!❤️‍🩹
📣¿Dónde está el humano que le va a dar una oportunidad a Bakku?
Si quieres acoger a Bakku (URGENTE!!🙏Cordoba o Madrid) o adoptarlo (toooda España), escríbenos🐾!!!:
➡️ email:
salvandocorazonespeludos@gmail.com
Esta en Córdoba pero se envía a toda España.",https://petshelter.miwuki.com/c/MTkfIgonDy,miwuki,0
Señor Wilson,Male,Young,Medium,Dog,"Good at home, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Independent, Protective",Omeyocan AcProtectora,"Ciudad de México, México",0 kg,Low,"El Señor Wilson ingresó luego de ser atendido por atropellamiento, fue operado y ahora busca una casita. Sigue en recuperación de su marcha. Es un perrito cariñoso, protector, amigable con niños y con otros perritos aunque es líder. Le encanta tomar el sol.",https://petshelter.miwuki.com/c/M5FLwzHzwS,miwuki,0
Meren,Male,Young,Medium,Dog,"Good with other dogs, Good with people",Spax Protectora De Animales De XàtivaProtectora,"Valencia, España",10 kg,Undetermined,"Pedro, Meren, Dero y Alexia fueron encontrados en Bixquert. Son tan miedosos que tuvimos que poner una jaula para cogerles. Los fuimos cogiendo uno a uno, pero por suerte finalmente tenemos a los cuatro. En el refugio viven algo asustados pero poco a poco van cogiendo confianza. Al voluntario que está con ellos a diario ya se han acostumbrado y cuando están con él a solas salen a jugar con los demás perros y se divierten mucho. Meren no se deja tocar todavía, pero todo es cuestión de que siga cogiendo confianza. En una casa se socializarían mucho más rápido. Meren se entrega con chip, pasaporte europeo, vacuna antirrábica, esterilizada y con contrato de adopción.",https://petshelter.miwuki.com/c/dkSHjyeARU,miwuki,2
Oreo,Male,Young,Unknown,Dog,"Good with children, Good with other animals, Affectionate, Likes company, Playful, Likes to walk",Huellitas Happy GranadaProtectora,"Granada, España",0 kg,Undetermined,"OREO sacado de la perrera, tiene un año, es tamaño pequeño(10 Kg), bodeguerito noble,bueno,cariñoso, se lleva genial con todos y busca un hogar donde disfrutar y ser el cachorron que es.

✈️✈️ Está en Granada pero puede viajar 

☎️📲Contacto por WhatsApp(NO ATENDEMOS LLAMADAS TELEFÓNICAS) al ANA 666 75 49 71 MARIA 676708442",https://petshelter.miwuki.com/c/c2LsEkh4kE,miwuki,0
León,Male,Young,Unknown,Dog,Descripción no disponible,Centro Zoosanitario Municipal De AlmeríaProtectora,"Almería, España",26.5 kg,High,Historia no disponible,https://petshelter.miwuki.com/c/BCyhz2VtFW,miwuki,5
Amela,Female,Adult,Medium,Dog,"Good with children, Good with other animals, Good with other dogs, Good with people",Arca de NoéProtectora,"Sevilla, España",15 kg,Medium,"Amela es una perrita joven, muy dulce y cariñosa, pese a recibir nuestro cariño, no lo pasa muy bien al estar en el chenil, necesita un hogar!! Si quieres darle una oportunidad a Amela, ya sea acogiéndola o adoptándola escríbenos!! Nuestros animales están chipados, con la cartilla al día de vacunas y castrados o se entregan con compromiso de castración. La tasa de adopción iría exclusivamente para estos conceptos, siendo ésta, una asociación sin ánimo de lucro y con mucho amor por los animales.",https://petshelter.miwuki.com/c/TC8mdZDCqt,miwuki,2
Monito,Male,Young,Large,Dog,"Good with other animals, Good temperament, Affectionate, Likes company, Playful, Likes to walk, Shy",La Huella De WonderProtectora,"Madrid, España",0 kg,Medium,Historia no disponible,https://petshelter.miwuki.com/c/npJwtRDYX1,miwuki,0
Zowi,Female,Young,Large,Dog,"Good at home, Good with cats, Good with other dogs, Affectionate, Likes company, Playful, Likes to walk",Asociación Por PatasProtectora,"Granada, España",0 kg,Undetermined,"Zowi apareció en Iznalloz (Granada), muy delgada. Probablemente perteneciera a un cazador. Se acecaba solo a unos metros, pero poco a poco tomó confianza y se le pudo coger. Está en acogida con otros perros y gatos. Es una perra muy agradecida, enseguida agradeció los cuidados de las personas que la tienen.

Zowi se encuentra en Granada, pero puede viajar donde sea necesario para reunirse con su familia ideal. 💗",https://petshelter.miwuki.com/c/YkGzFq90t6,miwuki,0
Tyson,Male,Adult,Medium,Dog,Descripción no disponible,DogHorseCityProtectora,"Toledo, España",0 kg,Undetermined,"❤️🐾 TYSON (Feel)
Nacido aprox. 2016

Thyson es un perro alegre, simpático, de buen carácter, tranquilo en casa y activo cuando sale. Menuda descripción ¿eh?, pues no exageramos. 

Se ha criado con perros, gatos y niños y todo perfecto, está inmunizado a los cambios.

Es un perro con buen nivel de energía, por lo que busca a alguien a quien le gusten las salidas al campo, los paseos largos y los juegos. 

Es bueno para personas sin experiencia porque tiene un carácter muy bonito, está hecho a piso y a respetar los seres y las cosas del piso, es limpio y educado. 

Tiene una sonrisa que te desarmará y te dejará embelesado. ¿Quieres enamorarte?

❤️🐾Para ADOPCIÓN rellena el formulario:
https://goo.gl/forms/CzmkbzfE6HrFQXsR2
Información por whatsapp 623 119 680

🧔🏻🐶 Para APADRINAR rellena el formulario:
https://goo.gl/forms/wIwXNmLOe3iogggT2
O escribe a:
doghorsecityayudas@gmail.com o en 623 119 680

———————————*———————————

🇬🇧For more information please contact:
🇩🇪Für weitere Information schreiben Sie bitte an:
🇫🇷Pour plus d'informations s'il vous plaît contacter:

📧 Contact:
dogcityspain@outlook.es
Or fill out the adoption questionnaire:
https://goo.gl/forms/7oyL2GsWntcbcnym1",https://petshelter.miwuki.com/c/rIC8cHYMpV,miwuki,5
Hanna,Female,Puppy,Small,Dog,"Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Shy",There is HopeProtectora,"Estado de México, México",7 kg,High,"Ella es muy tímida con desconocidos, con tiempo y amor es una perrita muy tierna, juguetona, cariñosa, amigable.",https://petshelter.miwuki.com/c/dVwsTRuhSQ,miwuki,2
Lua,Female,Young,Medium,Dog,"Good at home, Good in the car, Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Playful, Obedient, Likes to walk",Raul M.Particular,"Barcelona, España",9 kg,Medium,"Adoptada hace 3 años, muy obediente y cariñosa, apta para niños y otros perros.",https://petshelter.miwuki.com/c/qgy5lewhUa,miwuki,0
